RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
172.412909,49.095268,11293909+4905429,16.636,0.154,15.779,0.15,15.635,0.199,BBC,222,111,000,0,0
172.439261,49.103889,11294542+4906140,16.289,0.113,15.492,0.123,15.666,0.205,BBC,222,111,000,0,0
172.469545,49.127586,11295269+4907393,13.803,0.025,13.399,0.027,13.295,0.032,AAA,222,111,000,0,0
172.418365,49.114998,11294040+4906539,14.278,0.031,13.93,0.036,13.834,0.046,AAA,222,111,000,0,0
172.427406,49.132133,11294257+4907556,13.749,0.025,13.171,0.024,13.095,0.03,AAA,222,111,000,0,0
172.45211,49.12241,11294850+4907206,16.059,0.092,15.486,0.116,15.334,0.148,ABB,222,111,000,0,0
172.448409,49.136562,11294761+4908116,13.198,0.022,12.861,0.022,12.812,0.027,AAA,222,111,000,0,0
172.500381,49.138561,11300009+4908188,15.167,0.047,14.781,0.067,14.66,0.085,AAA,222,111,000,0,0
172.525941,49.151356,11300622+4909048,15.231,0.048,14.597,0.059,14.424,0.069,AAA,222,111,000,0,0
172.543576,49.142941,11301045+4908345,16.59,0.15,15.793,0.168,15.258,0.136,BCB,222,111,000,0,0
172.527675,49.159767,11300664+4909351,14.281,0.03,13.856,0.036,13.868,0.049,AAA,222,111,000,0,0
172.555284,49.174721,11301326+4910289,16.728,0.166,15.831,0.152,15.303,0.149,CBB,222,111,000,0,0
172.557898,49.190136,11301389+4911244,13.891,0.026,13.261,0.026,13.042,0.029,AAA,222,111,000,0,0
172.576368,49.187874,11301832+4911163,16.005,,15.141,,14.906,0.116,UUB,662,2,00c,0,0
172.228541,49.055695,11285484+4903205,12.183,0.028,11.947,0.034,11.873,0.02,AAA,222,111,000,0,0
172.284858,49.110222,11290836+4906367,15.494,0.044,14.829,0.077,14.41,0.063,AAA,222,111,0c0,0,0
172.301511,49.092445,11291236+4905328,15.915,0.065,15.254,0.112,14.954,0.1,ABA,222,111,000,0,0
172.325561,49.094112,11291813+4905388,15.974,0.064,16.194,0.204,16.069,0.272,ACD,222,111,000,0,0
172.378083,49.110207,11293073+4906367,14.675,0.035,14.121,0.042,13.984,0.052,AAA,222,111,000,0,0
172.314275,49.12476,11291542+4907291,12.702,0.027,12.399,0.034,12.374,0.02,AAA,222,111,000,0,0
172.329354,49.122955,11291904+4907226,14.518,0.039,13.788,0.039,13.688,0.043,AAA,222,111,000,0,0
172.320248,49.125755,11291685+4907327,16.442,0.093,15.833,0.129,15.54,0.181,ABC,222,111,000,0,0
172.372752,49.147408,11292946+4908506,15.071,0.044,14.567,0.055,14.308,0.064,AAA,222,111,000,0,0
172.344284,49.132538,11292262+4907571,11.868,0.031,11.399,0.036,11.271,0.022,AAA,222,111,000,0,0
172.375304,49.144512,11293007+4908402,14.114,0.03,13.625,0.031,13.575,0.036,AAA,222,111,000,0,0
172.223507,49.090534,11285364+4905259,14.571,0.028,14.147,0.039,14.087,0.056,AAA,222,111,000,0,0
172.194644,49.105537,11284671+4906199,12.807,0.028,12.206,0.034,12.059,0.02,AAA,222,111,000,0,0
172.25137,49.141117,11290032+4908280,16.548,0.104,15.752,0.126,15.604,0.169,ABC,222,111,000,0,0
172.326915,49.160484,11291845+4909377,15.412,0.039,15.114,0.078,14.965,0.091,AAA,222,111,000,0,0
172.294816,49.147766,11291075+4908519,11.012,0.03,10.702,0.034,10.65,0.02,AAA,222,111,000,0,0
172.303769,49.174606,11291290+4910285,16.684,0.133,15.725,0.145,15.195,0.129,BBB,222,111,000,0,0
